Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1077,Acadia National Park,Bird,Anseriformes,Anatidae,Anas strepera,Gadwall,Approved,Present,Not Native,Unknown,Vagrant,Not Listed
ACAD-1078,Acadia National Park,Bird,Anseriformes,Anatidae,Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose",Approved,Present,Unknown,Occasional,Vagrant,Not Listed
ACAD-1079,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Approved,Not Confirmed,Unknown,Unknown,Migratory,Species of Concern
ACAD-1080,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya americana,Redhead,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1081,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1082,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya marila,"Greater Scaup, Greater Scaup Duck",Approved,Present,Native,Common,Resident,Not Listed
ACAD-1083,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya valisineria,Canvasback,Approved,Present,Not Native,Occasional,Vagrant,Not Listed
ACAD-1084,Acadia National Park,Bird,Anseriformes,Anatidae,Branta bernicla,"American Brant, Brant",Approved,Not Confirmed,Native,Unknown,Migratory,Not Listed
ACAD-1085,Acadia National Park,Bird,Anseriformes,Anatidae,Branta canadensis,"Canada Goose, Eastern Canada Goose",Approved,Present,Unknown,Common,Unknown,Not Listed
ACAD-1086,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala albeola,"Bufflehead, Buffle-Head",Approved,Present,Native,Abundant,Resident,Not Listed
ACAD-1087,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala clangula,"American Golden-Eye, Common Goldeneye",Approved,Present,Native,Common,Resident,Not Listed
ACAD-1088,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,Approved,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
ACAD-1089,Acadia National Park,Bird,Anseriformes,Anatidae,Camptorhynchus labradorius,Labrador Duck,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
ACAD-1090,Acadia National Park,Bird,Anseriformes,Anatidae,Chen caerulescens,"Blue Goose, Snow Goose",Approved,Present,Native,Occasional,Vagrant,Not Listed
ACAD-1091,Acadia National Park,Bird,Anseriformes,Anatidae,Clangula hyemalis,"Long-Tailed Duck, Old Squaw, Oldsquaw",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1092,Acadia National Park,Bird,Anseriformes,Anatidae,Cygnus columbianus,"Tundra Swan, Whistling Swan",Approved,Not Confirmed,Unknown,Unknown,Vagrant,Not Listed
ACAD-1093,Acadia National Park,Bird,Anseriformes,Anatidae,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Approved,Present,Native,Common,Resident,Not Listed
ACAD-1094,Acadia National Park,Bird,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1095,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta fusca,"Eastern White-Winged Scoter, White-Winged Coot, White-Winged Scoter",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1096,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta nigra,"American Common Scoter, American Scoter, Black Scoter, Butter-Bill, Common Scoter",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1097,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
ACAD-1098,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus merganser,"American Merganser, Common Merganser",Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1099,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1100,Acadia National Park,Bird,Anseriformes,Anatidae,Oxyura jamaicensis,"Northern Ruddy Duck, Ruddy Duck",Approved,Not Confirmed,Unknown,Unknown,Migratory,Not Listed
ACAD-1101,Acadia National Park,Bird,Anseriformes,Anatidae,Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider",Approved,Present,Native,Abundant,Resident,Not Listed
ACAD-1102,Acadia National Park,Bird,Anseriformes,Anatidae,Somateria spectabilis,King Eider,Approved,Not Confirmed,Unknown,Unknown,Vagrant,Not Listed
ACAD-1103,Acadia National Park,Bird,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1104,Acadia National Park,Bird,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,Approved,Present,Native,Common,Unknown,Not Listed
ACAD-1105,Acadia National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern
ACAD-1106,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus carolinensis,Chuck-Will's-Widow,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Not Listed
ACAD-1107,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1108,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles minor,"Common Nighthawk, Eastern Nighthawk",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1109,Acadia National Park,Bird,Charadriiformes,Alcidae,Alca torda,"Northern Razor-Billed Auk, Razorbill",Approved,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
ACAD-1110,Acadia National Park,Bird,Charadriiformes,Alcidae,Alle alle,"Common Dovekie, Dovekie",Approved,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
ACAD-1111,Acadia National Park,Bird,Charadriiformes,Alcidae,Cepphus grylle,"Black Guillemot, Sea Pigeon, Southern Black Guillemot",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1112,Acadia National Park,Bird,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,Approved,Not Confirmed,Unknown,Unknown,Resident,Species of Concern
ACAD-1113,Acadia National Park,Bird,Charadriiformes,Alcidae,Pinguinus impennis,Great Auk,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
ACAD-1114,Acadia National Park,Bird,Charadriiformes,Alcidae,Uria aalge,"Atlantic Murre, Common Murre",Approved,Not Present (Historical Report),Native,Unknown,Resident,Not Listed
ACAD-1115,Acadia National Park,Bird,Charadriiformes,Alcidae,Uria lomvia,"Brunnich's Murre, Brunnich's Thick-Billed Murre, Thick-Billed Murre",Approved,Not Confirmed,Native,Unknown,Resident,Not Listed
